,BANK,ENV,INS,CONT,LAYERS,PTWD,FTWD,PER TEST,PER SUB,TRAIN,CV
163,MFC,D2,-4.0,13.0,6.0,0.0001,0.001,28.15,19.17,73.03,62.7
164,MFC,D2,-4.0,13.0,6.0,0.0001,0.0001,27.86,17.24,74.24,62.52
165,MFC,D2,-4.0,13.0,6.0,0.0001,1e-05,28.06,18.77,73.45,62.55
166,MFC,D2,-4.0,13.0,6.0,0.0001,1e-06,28.06,18.65,73.57,62.33
167,MFC,D2,-4.0,13.0,6.0,1e-05,0.1,31.97,28.47,64.42,60.64
168,MFC,D2,-4.0,13.0,6.0,1e-05,0.01,28.51,21.12,71.36,63.02
169,MFC,D2,-4.0,13.0,6.0,1e-05,0.001,28.22,19.42,72.8,62.45
170,MFC,D2,-4.0,13.0,6.0,1e-05,0.0001,28.06,18.83,73.42,62.49
171,MFC,D2,-4.0,13.0,6.0,1e-05,1e-05,28.13,19.22,72.92,62.38
172,MFC,D2,-4.0,13.0,6.0,1e-05,1e-06,28.12,19.27,72.92,62.38
173,MFC,D2,-4.0,13.0,6.0,1e-06,0.1,32.01,28.47,64.43,60.66
174,MFC,D2,-4.0,13.0,6.0,1e-06,0.01,28.68,20.89,71.38,63.0
175,MFC,D2,-4.0,13.0,6.0,1e-06,0.001,28.22,19.8,72.39,62.56
176,MFC,D2,-4.0,13.0,6.0,1e-06,0.0001,28.17,19.17,72.98,62.31
177,MFC,D2,-4.0,13.0,6.0,1e-06,1e-05,28.19,19.16,72.97,62.29
178,MFC,D2,-4.0,13.0,6.0,1e-06,1e-06,27.87,18.03,74.17,62.43
179,MFC,D2,-4.0,13.0,7.0,0.1,0.1,31.43,27.96,64.45,60.5
180,MFC,D2,-4.0,13.0,7.0,0.1,0.01,28.53,21.57,70.87,62.91
181,MFC,D2,-4.0,13.0,7.0,0.1,0.001,28.37,21.15,70.92,62.6
182,MFC,D2,-4.0,13.0,7.0,0.1,0.0001,28.11,20.7,71.3,62.62
183,MFC,D2,-4.0,13.0,7.0,0.1,1e-05,28.16,20.71,71.3,62.71
184,MFC,D2,-4.0,13.0,7.0,0.1,1e-06,28.1,20.72,71.3,62.63
185,MFC,D2,-4.0,13.0,7.0,0.01,0.1,31.21,27.83,64.83,61.0
186,MFC,D2,-4.0,13.0,7.0,0.01,0.01,28.44,20.8,71.52,62.68
187,MFC,D2,-4.0,13.0,7.0,0.01,0.001,28.14,18.91,73.21,62.52
188,MFC,D2,-4.0,13.0,7.0,0.01,0.0001,28.06,17.49,74.22,62.54
189,MFC,D2,-4.0,13.0,7.0,0.01,1e-05,28.06,17.47,74.24,62.53
190,MFC,D2,-4.0,13.0,7.0,0.01,1e-06,28.06,17.48,74.24,62.53
191,MFC,D2,-4.0,13.0,7.0,0.001,0.1,31.7,28.08,64.72,60.67
192,MFC,D2,-4.0,13.0,7.0,0.001,0.01,28.28,19.77,72.33,63.11
193,MFC,D2,-4.0,13.0,7.0,0.001,0.001,28.22,19.09,73.05,62.41
194,MFC,D2,-4.0,13.0,7.0,0.001,0.0001,28.31,18.9,73.18,62.33
195,MFC,D2,-4.0,13.0,7.0,0.001,1e-05,28.26,18.91,73.19,62.37
196,MFC,D2,-4.0,13.0,7.0,0.001,1e-06,28.25,18.9,73.19,62.32
197,MFC,D2,-4.0,13.0,7.0,0.0001,0.1,31.65,28.08,64.71,60.72
198,MFC,D2,-4.0,13.0,7.0,0.0001,0.01,28.44,20.03,71.76,62.76
199,MFC,D2,-4.0,13.0,7.0,0.0001,0.001,28.21,18.37,73.07,62.31
200,MFC,D2,-4.0,13.0,7.0,0.0001,0.0001,28.27,18.25,73.2,62.19
201,MFC,D2,-4.0,13.0,7.0,0.0001,1e-05,28.13,17.6,73.87,62.13
202,MFC,D2,-4.0,13.0,7.0,0.0001,1e-06,28.14,17.63,73.87,62.1
203,MFC,D2,-4.0,13.0,7.0,1e-05,0.1,31.67,28.07,64.72,60.75
204,MFC,D2,-4.0,13.0,7.0,1e-05,0.01,28.05,19.18,72.75,63.08
205,MFC,D2,-4.0,13.0,7.0,1e-05,0.001,28.3,18.56,73.09,62.4
206,MFC,D2,-4.0,13.0,7.0,1e-05,0.0001,28.34,18.95,73.21,62.3
207,MFC,D2,-4.0,13.0,7.0,1e-05,1e-05,28.36,18.95,73.22,62.3
208,MFC,D2,-4.0,13.0,7.0,1e-05,1e-06,28.37,18.98,73.22,62.25
209,MFC,D2,-4.0,13.0,7.0,1e-06,0.1,31.68,28.09,64.71,60.71
210,MFC,D2,-4.0,13.0,7.0,1e-06,0.01,28.5,20.02,71.79,62.76
211,MFC,D2,-4.0,13.0,7.0,1e-06,0.001,28.32,18.41,73.11,62.43
212,MFC,D2,-4.0,13.0,7.0,1e-06,0.0001,28.11,17.88,73.78,62.42
213,MFC,D2,-4.0,13.0,7.0,1e-06,1e-05,28.1,17.88,73.79,62.35
214,MFC,D2,-4.0,13.0,7.0,1e-06,1e-06,28.08,17.88,73.79,62.34
215,MFC,D2,-4.0,13.0,8.0,0.1,0.1,31.32,27.78,64.48,60.52
216,MFC,D2,-4.0,13.0,8.0,0.1,0.01,28.25,20.8,71.2,62.92
217,MFC,D2,-4.0,13.0,8.0,0.1,0.001,28.38,20.97,70.95,62.47
218,MFC,D2,-4.0,13.0,8.0,0.1,0.0001,28.21,20.39,71.31,62.38
219,MFC,D2,-4.0,13.0,8.0,0.1,1e-05,28.22,20.41,71.31,62.52
220,MFC,D2,-4.0,13.0,8.0,0.1,1e-06,28.18,20.42,71.29,62.5
221,MFC,D2,-4.0,13.0,8.0,0.01,0.1,31.25,27.63,65.0,60.93
222,MFC,D2,-4.0,13.0,8.0,0.01,0.01,27.95,18.85,73.06,62.95
223,MFC,D2,-4.0,13.0,8.0,0.01,0.001,28.05,18.42,73.23,62.59
224,MFC,D2,-4.0,13.0,8.0,0.01,0.0001,28.04,18.24,73.32,62.49
225,MFC,D2,-4.0,13.0,8.0,0.01,1e-05,28.06,18.22,73.34,62.5
226,MFC,D2,-4.0,13.0,8.0,0.01,1e-06,28.05,18.22,73.34,62.5
227,MFC,D2,-4.0,13.0,8.0,0.001,0.1,31.07,27.5,65.24,61.11
228,MFC,D2,-4.0,13.0,8.0,0.001,0.01,28.05,19.11,72.56,62.86
229,MFC,D2,-4.0,13.0,8.0,0.001,0.001,27.91,17.43,74.04,62.55
230,MFC,D2,-4.0,13.0,8.0,0.001,0.0001,27.89,17.23,74.18,62.52
231,MFC,D2,-4.0,13.0,8.0,0.001,1e-05,27.93,17.2,74.18,62.51
232,MFC,D2,-4.0,13.0,8.0,0.001,1e-06,27.93,17.19,74.18,62.51
233,MFC,D2,-4.0,13.0,8.0,0.0001,0.1,30.99,27.27,65.14,61.15
234,MFC,D2,-4.0,13.0,8.0,0.0001,0.01,27.91,19.21,72.67,63.02
235,MFC,D2,-4.0,13.0,8.0,0.0001,0.001,28.04,16.84,74.7,62.36
236,MFC,D2,-4.0,13.0,8.0,0.0001,0.0001,28.15,17.23,74.25,62.05
237,MFC,D2,-4.0,13.0,8.0,0.0001,1e-05,28.13,17.2,74.27,62.05
238,MFC,D2,-4.0,13.0,8.0,0.0001,1e-06,28.13,17.2,74.27,62.05
239,MFC,D2,-4.0,13.0,8.0,1e-05,0.1,31.21,27.77,65.0,61.01
240,MFC,D2,-4.0,13.0,8.0,1e-05,0.01,27.88,19.07,72.6,62.99
241,MFC,D2,-4.0,13.0,8.0,1e-05,0.001,28.21,18.6,73.09,62.41
242,MFC,D2,-4.0,13.0,8.0,1e-05,0.0001,28.24,18.46,73.18,62.33
243,MFC,D2,-4.0,13.0,8.0,1e-05,1e-05,28.24,18.44,73.19,62.35
244,MFC,D2,-4.0,13.0,8.0,1e-05,1e-06,28.24,18.44,73.19,62.34
245,MFC,D2,-4.0,13.0,8.0,1e-06,0.1,31.25,27.54,65.18,61.01
246,MFC,D2,-4.0,13.0,8.0,1e-06,0.01,27.98,19.07,72.62,62.88
247,MFC,D2,-4.0,13.0,8.0,1e-06,0.001,28.13,17.58,74.03,62.52
248,MFC,D2,-4.0,13.0,8.0,1e-06,0.0001,28.26,18.35,73.2,62.44
249,MFC,D2,-4.0,13.0,8.0,1e-06,1e-05,28.27,18.32,73.21,62.45
250,MFC,D2,-4.0,13.0,8.0,1e-06,1e-06,28.27,18.32,73.21,62.44
